area_type,availability,location,size,bath,balcony,total_m2,price_mDT
Super built-up  Area,Ready To Move,sajnan,2 BHK,2,2,130.06,1164.007535
Plot  Area,Ready To Move,mhamdya,4 Bedroom,5,,283.9024,1077.784754
Super built-up  Area,Ready To Move,tela,3 BHK,3,2,169.6354,1347.230943
Super built-up  Area,18-Jun,jam,3 BHK,3,2,156.9081,1110.118297
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,334.1132738
Super built-up  Area,Ready To Move,aamra,5 BHK,4,,232.25,15088.98656
Super built-up  Area,Ready To Move,ghar lmelh,2 BHK,2,1,89.184,517.3366821
Built-up  Area,Ready To Move,madina l jadida,2 BHK,2,1,75.0632,431.1139017
Super built-up  Area,Ready To Move,jandouba nord,2 BHK,2,2,84.2603,414.9471304
Super built-up  Area,Ready To Move,siida,2 BHK,2,2,120.77,592.7816149
Super built-up  Area,Ready To Move,SECTOR 1 HSR LAYOUT,3 BHK,3,2,167.5916,1616.677131
Super built-up  Area,Ready To Move,NAIDU LAYOUT,3 BHK,3,2,125.415,873.005651
Super built-up  Area,Ready To Move,hesi farid,3 BHK,3,2,170.5644,1347.230943
Super built-up  Area,Ready To Move,SUGAMA LAYOUT,2 BHK,2,2,76.7354,388.0025115
Super built-up  Area,Ready To Move,mornagya,2 BHK,2,3,111.48,732.8936329
Super built-up  Area,18-Dec,1ST BLOCK KORAMANGALA,4 BHK,3,3,278.7,3233.354263
Plot  Area,Ready To Move,seliena sud,4 Bedroom,4,2,222.96,4365.028255
Super built-up  Area,Ready To Move,hay l khadhra,2 BHK,2,,135.634,862.2278034
Plot  Area,Ready To Move,wed lil,4 Bedroom,4,3,111.48,1508.898656
Super built-up  Area,Ready To Move,kalaa kobra,2 BHK,2,2,89.6485,603.5594624
Carpet  Area,Ready To Move,chbika,4 Bedroom,4,2,185.8,1023.895517
Super built-up  Area,Ready To Move,mehres,3 BHK,2,2,129.5955,754.449328
Super built-up  Area,Ready To Move,tela,3 BHK,3,2,154.214,1250.230315
Super built-up  Area,Ready To Move,KADA AGRAHARA,2 BHK,2,2,86.8615,377.224664
Super built-up  Area,Ready To Move,HONGASANDRA,2 BHK,2,1,109.622,420.3360542
Built-up  Area,18-Dec,l mida,2 BHK,2,1,101.261,339.2866407
Super built-up  Area,19-Jan,aamdoun,2 BHK,2,1,111.8516,883.7834985
Super built-up  Area,Ready To Move,awled chemekh,3 BHK,4,2,192.4888,1649.010674
Built-up  Area,Ready To Move,benzert nord,2 BHK,2,1,98.1024,700.5600903
Super built-up  Area,18-Dec,jarzouna,2 BHK,2,2,91.5065,668.2265477
Super built-up  Area,Ready To Move,sousse sidi aabd lahmid,3 BHK,2,2,122.1635,528.1145296
Built-up  Area,Ready To Move,makther,2 BHK,2,1,68.1886,237.1126459
Built-up  Area,Ready To Move,beja nord,4 Bedroom,4,2,269.41,2155.569509
Super built-up  Area,Ready To Move,fousena,3 BHK,4,3,215.2493,1508.898656
Built-up  Area,Ready To Move,rdif,1 Bedroom,1,0,55.74,485.0031394
Built-up  Area,Ready To Move,VISHWANATHA NAGENAHALLI,4 Bedroom,3,0,204.38,1239.452467
Super built-up  Area,Ready To Move,beb jdid,2 BHK,2,1,60.9424,269.4461886
Built-up  Area,Ready To Move,beb jdid,1 BHK,1,1,37.16,123.9452467
Super built-up  Area,Ready To Move,douar hicher,1 BHK,1,1,61.8714,396.6247896
Plot  Area,Ready To Move,kasra,4 Bedroom,5,2,305.9197,4580.585206
Super built-up  Area,Ready To Move,wardya,2 BHK,2,1,109.0646,506.5588345
Super built-up  Area,Ready To Move,ariana soghra,2 BHK,2,2,107.1137,611.1039557
Plot  Area,Ready To Move,rouhya,4 Bedroom,4,1,92.9,970.0062789
Built-up  Area,Ready To Move,sidi bou zid west,5 BHK,5,2,222.96,916.1170412
Super built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,1,88.9053,506.5588345
Built-up  Area,Ready To Move,jawharet sousse,2 BHK,2,2,84.539,1724.455607
Built-up  Area,17-Dec,tela,2 BHK,2,1,98.474,538.8923772
Super built-up  Area,18-Jul,nfidha,2 BHK,2,1,92.9,538.8923772
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,2,171.2147,948.4505838
Super built-up  Area,Ready To Move,aamdoun,3 BHK,2,2,106.835,433.8083636
Super built-up  Area,18-Sep,rades,3 BHK,2,2,114.267,338.1010774
Super built-up  Area,Ready To Move,ghar dimaa,4 BHK,5,2,297.0013,3610.578927
Super built-up  Area,19-Jul,aamdoun,3 BHK,3,2,158.2087,1401.120181
Super built-up  Area,Ready To Move,dakach,2 BHK,2,1,104.5125,447.280673
Super built-up  Area,Ready To Move,sakyet zit,3 BHK,3,3,140.8364,700.5600903
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,2,104.977,603.5594624
Super built-up  Area,Ready To Move,sidi olwen,4 BHK,5,1,334.0684,3007.019464
Super built-up  Area,19-Jun,tborba,3 BHK,3,2,140.4648,1110.118297
Built-up  Area,Ready To Move,bradeaa,3 BHK,3,1,138.5139,948.4505838
Super built-up  Area,Ready To Move,hamem chatt,2 BHK,2,2,116.125,1023.895517
Super built-up  Area,18-Aug,nfidha,3 BHK,3,2,153.285,978.0896645
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,1,105.906,524.8811753
Plot  Area,Ready To Move,BEHIND DON BOSCO CHURCH,4 Bedroom,4,1,111.48,1185.56323
Super built-up  Area,Ready To Move,bradeaa,3 BHK,3,,174.7449,1023.895517
Super built-up  Area,21-Dec,aamdoun,3 BHK,3,2,102.19,609.7028355
Super built-up  Area,Ready To Move,sidi olwen,3 BHK,4,1,247.6714,2155.569509
Super built-up  Area,Ready To Move,BAGALUR,2 BHK,2,1,139.35,538.8923772
Super built-up  Area,18-Dec,SESHADRIPURAM,2 BHK,2,1,113.0593,1767.566997
Built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,111.2013,538.8923772
Built-up  Area,Ready To Move,BHEL LAYOUT,6 Bedroom,4,1,222.96,1832.234082
Built-up  Area,Ready To Move,moknin,3 BHK,3,2,124.9505,646.6708526
Plot  Area,Ready To Move,makther,4 Bedroom,4,2,111.48,1077.784754
Super built-up  Area,Ready To Move,aamra,4 BHK,5,0,300.067,1778.344845
Super built-up  Area,Ready To Move,akouda,3 BHK,2,1,117.054,1023.895517
Built-up  Area,Ready To Move,tela,4 Bedroom,5,1,255.475,2586.68341
Plot  Area,Ready To Move,kram,2 Bedroom,2,0,111.48,862.2278034
Built-up  Area,Ready To Move,DEVARA JEEVANAHALLI,3 Bedroom,3,0,153.285,560.4480722
Super built-up  Area,Ready To Move,1ST BLOCK HBR LAYOUT,1 BHK,1,0,55.74,485.0031394
Super built-up  Area,Ready To Move,siida,2 BHK,2,1,95.2225,386.7091698
Super built-up  Area,18-Dec,fariena,4 BHK,,,213.90225,868.5867335
Super built-up  Area,Ready To Move,mater,2 BHK,2,1,90.3917,603.5594624
Super built-up  Area,19-Dec,THANISANDRA MAIN ROAD,4 BHK,4,2,381.819,6358.93005
Super built-up  Area,Ready To Move,fawar,3 BHK,3,3,235.3157,4580.585206
Super built-up  Area,Ready To Move,bouficha,2 BHK,2,1,93.5503,808.3385657
Super built-up  Area,19-Mar,tborba,1 BHK,1,0,74.32,431.0061232
Built-up  Area,18-Dec,tela,3 Bedroom,3,1,170.007,1282.563858
Super built-up  Area,Ready To Move,meknesi,2 BHK,2,1,100.0533,538.8923772
Plot  Area,Ready To Move,IMMADIHALLI,1 Bedroom,1,1,62.4288,291.0018837
Plot  Area,Ready To Move,SHANTHI LAYOUT,3 Bedroom,3,0,118.912,937.6727362
Built-up  Area,Ready To Move,dar chaaben fehri,2 BHK,2,0,80.3585,431.1139017
Super built-up  Area,Ready To Move,zaghwen,2 BHK,2,2,92.9,355.6689689
Super built-up  Area,Ready To Move,hay gazela,2 BHK,2,2,119.3765,700.5600903
Super built-up  Area,Ready To Move,bradeaa,1 BHK,1,1,61.4998,312.5575787
Plot  Area,Ready To Move,hesi farid,5 Bedroom,5,2,213.3913,2899.240989
Plot  Area,Ready To Move,metlawi,5 Bedroom,6,3,348.375,3179.465025
Super built-up  Area,Ready To Move,KALKERE,3 BHK,3,3,171.865,1023.895517
Super built-up  Area,Ready To Move,tinja,3 BHK,3,2,162.9466,1422.675876
Plot  Area,Ready To Move,HENNUR BANDE,5 Bedroom,4,2,111.48,1616.677131
Plot  Area,Ready To Move,halk lwed,5 Bedroom,7,2,204.38,3772.24664
Super built-up  Area,Ready To Move,ANUGRAH LAYOUT,3 BHK,3,1,145.5743,1077.784754
Super built-up  Area,Ready To Move,wed lil,3 BHK,3,3,157.4655,538.8923772
Plot  Area,Ready To Move,HOSAHALLI EXTENSION,2 Bedroom,2,1,33.444,431.1139017
Super built-up  Area,Ready To Move,sfax lemdina,2 BHK,2,1,106.835,748.4137334
Super built-up  Area,Ready To Move,hrayrya,3 BHK,3,2,157.001,916.1170412
Built-up  Area,18-Mar,1ST BLOCK KORAMANGALA,3 BHK,3,2,218.315,2263.347984
Super built-up  Area,Ready To Move,nafra,2 BHK,2,1,98.1953,700.5600903
Super built-up  Area,19-Dec,jarzouna,2 BHK,2,1,122.628,980.7841264
Super built-up  Area,18-Jul,mehres,4 BHK,4,3,196.8551,1196.341077
Super built-up  Area,Ready To Move,BANDEPALYA,2 BHK,2,1,104.5125,517.3366821
Super built-up  Area,18-Aug,aamdoun,3 BHK,3,2,209.3966,1832.234082
Super built-up  Area,20-Jan,bouficha,1 BHK,1,1,59.9205,368.386829
Super built-up  Area,Ready To Move,mareth,2 BHK,2,2,97.545,561.3103
Super built-up  Area,18-May,kabes ouest,2 BHK,2,1,96.616,448.3584578
Super built-up  Area,18-Jun,tela,3 BHK,3,1,157.93,2090.902423
Super built-up  Area,Ready To Move,carthage,3 BHK,3,,163.504,1239.452467
Super built-up  Area,19-Mar,sfax lemdina,3 BHK,3,2,105.7202,1379.564486
Super built-up  Area,18-Apr,tela,2 BHK,2,1,91.4136,494.8109807
Built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,105.906,416.5638075
Super built-up  Area,19-Dec,hesi farid,3 BHK,3,1,334.0684,2155.569509
Super built-up  Area,Ready To Move,KALKERE,3 BHK,3,2,126.8085,582.0037673
Super built-up  Area,Ready To Move,BETHEL NAGAR,1 BHK,1,0,52.024,204.7791033
Super built-up  Area,Ready To Move,zouhour gasserine,2 BHK,2,1,130.4316,808.3385657
Super built-up  Area,Ready To Move,sfax lemdina,4 BHK,4,3,143.066,485.0031394
Built-up  Area,Ready To Move,l mida,3 BHK,2,1,97.545,420.3360542
Plot  Area,Ready To Move,LINGARAJAPURAM,4 Bedroom,4,3,33.444,398.7803591
Super built-up  Area,Ready To Move,mareth,3 BHK,3,3,143.995,781.3939469
Super built-up  Area,Ready To Move,fousena,3 BHK,3,3,153.5637,1002.339821
Super built-up  Area,Ready To Move,kabes lemdina,2 BHK,2,2,110.9226,506.5588345
Super built-up  Area,Ready To Move,NARAYANA NAGAR 1ST BLOCK,3 BHK,2,3,136.6559,808.3385657
Super built-up  Area,21-Dec,aamdoun,2 BHK,2,1,65.03,377.224664
Built-up  Area,Ready To Move,bou hajla,2 BHK,2,1,75.4348,412.2526685
Super built-up  Area,Ready To Move,lemdina,3 BHK,2,2,139.7216,894.5613461
Super built-up  Area,Ready To Move,kef west,3 BHK,3,2,134.705,808.3385657
Super built-up  Area,Ready To Move,mjez l beb,2 BHK,2,2,88.9053,587.3926911
Carpet  Area,Ready To Move,beb jdid,1 BHK,1,1,42.734,140.1120181
Plot  Area,Ready To Move,POORNAPRAJNA LAYOUT,2 Bedroom,2,0,83.61,1379.564486
Super built-up  Area,Ready To Move,wardya,2 BHK,2,1,97.545,808.3385657
Super built-up  Area,Ready To Move,ariana soghra,3 BHK,3,2,169.078,916.1170412
Super built-up  Area,19-Dec,smar,2 BHK,2,2,95.9657,344.8911214
Plot  Area,Ready To Move,hejeb laayoun,2 Bedroom,1,1,74.32,970.0062789
Plot  Area,Ready To Move,KADABAGERE,1 Bedroom,2,0,48.308,312.5575787
Super built-up  Area,Ready To Move,hichrya,2 BHK,2,2,108.2285,953.8395076
Super built-up  Area,Ready To Move,mestir,2 BHK,2,1,118.912,657.4487001
Built-up  Area,Ready To Move,CAMBRIDGE LAYOUT,3 BHK,3,3,181.155,2478.904935
Plot  Area,Ready To Move,BTM 4TH STAGE,1 Bedroom,1,0,55.74,625.1151575
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,143.995,701.637875
Super built-up  Area,Ready To Move,zidi bou zid ouest,2 BHK,2,1,129.3168,1401.120181
Super built-up  Area,Ready To Move,bou arada,3 BHK,3,3,113.4309,808.3385657
Super built-up  Area,Ready To Move,AMS LAYOUT,1 BHK,1,1,92.9,204.7791033
Built-up  Area,Ready To Move,KR GARDEN,2 BHK,2,2,120.77,646.6708526
Built-up  Area,Ready To Move,wed lil,2 BHK,2,3,98.9385,339.5021976
Built-up  Area,Ready To Move,jdalyen,3 BHK,2,3,112.3161,700.5600903
Plot  Area,Ready To Move,BTM 1ST STAGE,1 Bedroom,1,0,34.8375,431.1139017
Plot  Area,Ready To Move,DOLLARS COLONY,3 Bedroom,3,2,724.62,21555.69509
Super built-up  Area,19-Mar,tela,3 BHK,4,1,179.2041,1088.562602
Built-up  Area,Ready To Move,mater,2 BHK,2,1,116.5895,905.3391936
Super built-up  Area,19-Dec,rouhya,2 BHK,2,1,96.1515,334.6521662
Plot  Area,Ready To Move,ANNAPURNESHWARI NAGAR,4 Bedroom,5,2,111.48,2910.018837
Super built-up  Area,18-May,nfidha,3 BHK,3,2,153.285,1088.562602
Built-up  Area,Ready To Move,hesi farid,3 BHK,2,3,118.4475,700.5600903
Super built-up  Area,18-Aug,l mida,2 BHK,2,1,104.7912,706.8112419
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,105.906,415.4860228
Plot  Area,Ready To Move,hichrya,4 Bedroom,4,2,111.48,2155.569509
Super built-up  Area,21-Nov,bradeaa,2 BHK,2,2,109.9007,631.1507521
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,107.2995,420.3360542
Super built-up  Area,Ready To Move,hazwa,3 BHK,2,2,115.6605,469.5908174
Built-up  Area,Ready To Move,hrayrya,2 BHK,2,1,92.9,409.5582066
Super built-up  Area,Ready To Move,wardya,2 BHK,2,1,96.616,808.3385657
Super built-up  Area,Ready To Move,bardo,4 BHK,3,,191.5598,1508.898656
Super built-up  Area,Ready To Move,KUNDALAHALLI COLONY,3 BHK,2,2,137.2133,808.3385657
Plot  Area,17-Aug,NAGADEVANAHALLI,4 Bedroom,3,3,97.545,916.1170412
Super built-up  Area,Ready To Move,tela,3 BHK,2,2,141.6725,700.5600903
Plot  Area,Immediate Possession,CARMELARAM,,,,185.8,1293.341705
Super built-up  Area,Ready To Move,KAVERAPPA LAYOUT,2 BHK,2,1,113.338,700.5600903
Super built-up  Area,Ready To Move,jarzouna,3 BHK,3,1,221.8452,2101.680271
Super built-up  Area,18-Apr,l mida,2 BHK,2,1,125.8795,1051.91792
Built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,105.9989,668.2265477
Super built-up  Area,21-Jun,akareb,2 BHK,2,0,97.1734,528.7612005
Super built-up  Area,Ready To Move,aamra,1 BHK,1,2,58.527,377.224664
Super built-up  Area,Ready To Move,matmata,2 BHK,2,2,115.8463,671.9987943
Built-up  Area,Ready To Move,kalaa khasba,4 BHK,4,3,358.1295,2371.126459
Super built-up  Area,Ready To Move,GEDDALAHALLI,2 BHK,2,1,78.965,350.2800451
Super built-up  Area,Ready To Move,makther,2 BHK,2,2,104.048,388.0025115
Plot  Area,Ready To Move,benzert sud,8 Bedroom,8,,74.32,3071.68655
Super built-up  Area,18-Aug,aarousa,3 BHK,3,1,167.0342,1185.56323
Built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,109.622,485.0031394
Super built-up  Area,Ready To Move,jandouba sud,2 BHK,2,1,92.9,366.4468165
Super built-up  Area,19-Mar,hesi farid,2 BHK,2,1,112.9664,883.7834985
Built-up  Area,Ready To Move,kalet snan,2 Bedroom,2,0,83.61,700.5600903
Built-up  Area,Ready To Move,mednin sud,2 Bedroom,2,0,102.19,700.5600903
Super built-up  Area,20-Jan,sousse lemdina,3 BHK,3,2,171.1218,1239.452467
Super built-up  Area,Ready To Move,hay tadhamen,3 BHK,2,1,99.8675,463.4474443
Super built-up  Area,Ready To Move,hesi farid,2 BHK,3,3,138.8855,948.4505838
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,157.93,1293.341705
Super built-up  Area,20-Dec,hesi farid,3 BHK,3,1,145.2956,1110.118297
Super built-up  Area,18-Apr,RELIAABLE TRANQUIL LAYOUT,2 BHK,2,1,116.6824,700.5600903
Super built-up  Area,18-Jun,hafouz,2 BHK,2,1,97.2663,959.2284313
Super built-up  Area,18-Apr,mehres,3 BHK,3,1,135.4482,845.5221397
Super built-up  Area,19-Dec,manzel bourguiba,2 BHK,2,1,98.7527,659.2809342
Super built-up  Area,Ready To Move,SADASHIVA NAGAR,4 BHK,5,,687.46,19939.01795
Super built-up  Area,Ready To Move,korba,2 BHK,2,1,106.835,565.836996
Built-up  Area,Ready To Move,rades,1 BHK,1,1,41.805,97.00062789
Built-up  Area,Ready To Move,ghbeli nord,2 BHK,2,0,126.344,485.0031394
Built-up  Area,Ready To Move,kalaa khasba,3 BHK,3,2,149.1045,819.1164133
Carpet  Area,Ready To Move,rgueb,3 BHK,4,2,111.48,2209.458746
Super built-up  Area,18-Aug,benzert nord,3 BHK,3,2,168.149,1077.784754
Super built-up  Area,18-Aug,chrarda,2 BHK,2,2,116.125,522.7256058
Super built-up  Area,Ready To Move,hemma ouest,3 BHK,2,2,137.0275,635.7852266
Built-up  Area,Ready To Move,metwya,2 Bedroom,3,0,102.19,1347.230943
Super built-up  Area,18-Dec,beni khaled,2 BHK,2,1,78.965,273.7573276
Built-up  Area,18-Jul,hammamet,2 BHK,2,1,95.2225,287.229637
Built-up  Area,Ready To Move,siida,2 BHK,2,1,91.042,485.0031394
Super built-up  Area,Ready To Move,BASAVANAGARA,3 BHK,2,1,132.6612,754.449328
Super built-up  Area,Ready To Move,SHANTI NAGAR,2 BHK,2,,104.977,797.5607182
Super built-up  Area,19-Jul,aamdoun,3 BHK,3,,147.8968,1347.230943
Super built-up  Area,Ready To Move,seliena nord,3 BHK,3,3,190.445,883.7834985
Super built-up  Area,Ready To Move,BAGALUR,2 BHK,2,1,130.7103,903.9380734
Super built-up  Area,Ready To Move,fouchena,3 BHK,3,2,387.393,8622.278034
Super built-up  Area,Ready To Move,hesi farid,3 BHK,3,1,147.2465,905.3391936
Built-up  Area,Ready To Move,aarousa,3 BHK,3,2,165.8265,1401.120181
Built-up  Area,Ready To Move,BSM EXTENSION,2 BHK,2,3,83.61,485.0031394
Plot  Area,Ready To Move,SOMANNA GARDEN,4 Bedroom,4,2,125.415,1724.455607
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,2,171.2147,1036.828934
Super built-up  Area,Ready To Move,MUNIVENKATPPA LAYOUT,4 BHK,3,,220.6375,2802.240361
Super built-up  Area,Ready To Move,RPC LAYOUT,2 BHK,2,1,111.48,722.1157854
Super built-up  Area,Ready To Move,hrayrya,2 BHK,2,1,103.3977,560.4480722
Super built-up  Area,Ready To Move,siida,2 BHK,2,1,104.5125,506.5588345
Plot  Area,18-Jul,hesi farid,3 Bedroom,3,1,111.48,603.5594624
Super built-up  Area,Ready To Move,sidi bachir,3 BHK,3,2,106.835,485.0031394
Super built-up  Area,Ready To Move,douar hicher,2 BHK,1,1,71.533,754.449328
Super built-up  Area,Ready To Move,jandouba nord,2 BHK,2,2,109.7149,614.33731
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,143.995,697.326736
Super built-up  Area,Ready To Move,halk lwed,2 BHK,2,,111.48,926.8948887
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,120.3055,597.8472032
Plot  Area,Ready To Move,tamghza,3 Bedroom,3,3,44.592,700.5600903
Super built-up  Area,Ready To Move,aala,3 BHK,3,1,139.9074,1023.895517
Built-up  Area,Ready To Move,"HSR LAYOUT 7TH SECTOR, ",3 BHK,3,2,173.9088,1638.232827
Super built-up  Area,Ready To Move,tela,4 BHK,4,2,269.41,2586.68341
Super built-up  Area,18-Jun,zouhour,3 BHK,2,1,123.1854,377.224664
Super built-up  Area,Ready To Move,mednin nord,2 BHK,2,1,96.616,358.6867662
Plot  Area,Ready To Move,BETTADASANAPURA,5 Bedroom,5,1,111.48,970.0062789
Super built-up  Area,Ready To Move,ghar lmelh,2 BHK,2,1,94.758,517.3366821
Super built-up  Area,Ready To Move,GOKULA EXTENSION,3 BHK,3,2,130.06,970.0062789
Super built-up  Area,Ready To Move,jelma,10 BHK,12,,371.6,1724.455607
Plot  Area,Ready To Move,WEAVERS COLONY,1 Bedroom,1,1,75.4348,280.2240361
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,1,102.19,582.0037673
Super built-up  Area,19-Aug,KODATHI,2 BHK,2,1,77.0141,245.734924
Plot  Area,Ready To Move,akareb,5 Bedroom,4,3,69.675,1023.895517
Plot  Area,Ready To Move,kasserine nord,4 Bedroom,4,2,250.83,3772.24664
Super built-up  Area,21-May,aamdoun,3 BHK,3,1,139.35,786.6750922
Built-up  Area,Ready To Move,beb swika,2 BHK,2,1,78.965,280.1162576
Built-up  Area,Ready To Move,dakach,2 BHK,2,2,109.622,646.6708526
Super built-up  Area,19-Dec,fouchena,4 BHK,5,2,474.5332,10723.95831
Super built-up  Area,Ready To Move,awled chemekh,3 BHK,4,2,205.7735,1616.677131
Super built-up  Area,Ready To Move,madina l jadida,2 BHK,2,1,93.829,388.0025115
Built-up  Area,Ready To Move,kalaa khasba,2 BHK,2,2,125.415,646.6708526
Built-up  Area,Ready To Move,mednin nord,2 BHK,2,0,102.19,538.8923772
Super built-up  Area,Ready To Move,aamdoun,3 BHK,2,2,134.705,678.2499459
Super built-up  Area,Ready To Move,manzel hbib,2 BHK,2,2,105.2557,431.1139017
Super built-up  Area,Ready To Move,bradeaa,3 BHK,3,2,145.2956,1077.784754
Plot  Area,Ready To Move,slimen,2 Bedroom,1,0,59.456,113.1673992
Super built-up  Area,Ready To Move,awled chemekh,3 BHK,4,2,192.4888,1692.122064
Plot  Area,Ready To Move,fawar,2 Bedroom,2,1,40.1328,700.5600903
Super built-up  Area,Ready To Move,tibar,3 BHK,2,3,135.634,550.7480094
Super built-up  Area,Ready To Move,A NARAYANAPURA,1 BHK,2,1,55.74,377.224664
Super built-up  Area,Ready To Move,mareth,2 BHK,2,2,97.545,561.2025216
Built-up  Area,21-Dec,"JUDICIAL LAYOUT, KANAKAPURA ROAD, ",2 BHK,2,1,65.03,377.224664
Plot  Area,Ready To Move,mednin sud,3 Bedroom,3,0,111.48,711.3379378
Super built-up  Area,Ready To Move,fousena,1 BHK,1,1,60.7566,409.5582066
Super built-up  Area,Ready To Move,ANKAPPA LAYOUT,2 BHK,2,2,102.6545,538.8923772
Super built-up  Area,Ready To Move,sajnan,3 BHK,3,3,167.22,1616.677131
Plot  Area,Ready To Move,sbiba,2 Bedroom,2,2,111.48,1724.455607
Super built-up  Area,Ready To Move,farnena,1 BHK,1,1,65.03,332.3888182
Super built-up  Area,Ready To Move,AMRUTHNAGAR,2 BHK,2,1,92.9,549.6702247
Built-up  Area,Ready To Move,benzert sud,5 Bedroom,5,0,325.15,3772.24664
Super built-up  Area,18-Apr,GATTAHALLI,3 BHK,2,1,115.196,679.0043952
Super built-up  Area,Ready To Move,sfax lemdina,2 BHK,2,3,111.48,485.0031394
Super built-up  Area,Ready To Move,jdalyen,3 BHK,2,2,130.06,862.2278034
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,3,2,129.4097,582.0037673
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,2,105.906,538.8923772
Plot  Area,Ready To Move,kasserine sud,5 Bedroom,5,,92.9,1401.120181
Built-up  Area,Ready To Move,GULIMANGALA,3 BHK,3,2,152.356,754.449328
Plot  Area,Ready To Move,KITHAGANUR,2 Bedroom,2,0,111.48,668.2265477
Built-up  Area,Ready To Move,fawar,2 BHK,2,2,66.888,700.5600903
Super built-up  Area,Ready To Move,sehlin,3 BHK,3,3,153.285,732.8936329
Super built-up  Area,Ready To Move,meknesi,4 BHK,4,2,231.8784,1347.230943
Super built-up  Area,Ready To Move,kram,2 BHK,2,1,84.0745,344.8911214
Super built-up  Area,Ready To Move,ras jbal,3 BHK,3,1,148.64,1347.230943
Super built-up  Area,17-Apr,ben arous,2 BHK,2,1,99.403,490.1765063
Plot  Area,Ready To Move,YEMLUR,4 Bedroom,5,2,780.36,18052.89463
Built-up  Area,Ready To Move,sbikha,2 BHK,2,2,111.48,1077.784754
Plot  Area,Ready To Move,seliena sud,5 Bedroom,5,2,167.22,3772.24664
Built-up  Area,Ready To Move,lemdina,4 Bedroom,4,2,241.54,1239.452467
Super built-up  Area,Ready To Move,sidi ali ben oun,2 BHK,2,2,106.3705,808.3385657
Super built-up  Area,Ready To Move,ADDISCHETAN LAYOUT,3 BHK,3,2,138.8855,592.7816149
Plot  Area,Ready To Move,BASAVANAGARA,3 Bedroom,2,1,111.48,3233.354263
Built-up  Area,Ready To Move,STAGE-4 BOMMANAHALLI,3 BHK,3,2,130.06,571.2259198
Built-up  Area,18-Dec,hesi farid,3 BHK,3,2,144.7382,970.0062789
Super built-up  Area,20-Jan,bouficha,2 BHK,2,1,93.5503,571.2259198
Super built-up  Area,Ready To Move,beb swika,2 BHK,2,1,83.7958,272.2484289
Super built-up  Area,Ready To Move,KALLUMANTAPA,2 BHK,2,1,97.9166,571.2259198
Super built-up  Area,Ready To Move,siida,3 BHK,2,3,105.4415,428.2038829
Super built-up  Area,Ready To Move,moknin,2 BHK,2,2,92.5284,528.1145296
Super built-up  Area,18-Aug,VIMANAPURA,2 BHK,2,2,118.4475,506.5588345
Plot  Area,Ready To Move,bir lahmer,2 Bedroom,2,0,116.125,808.3385657
Built-up  Area,Ready To Move,ghar lmelh,4 BHK,4,2,232.4358,1832.234082
Super built-up  Area,Ready To Move,SADARAMANGALA,2 BHK,2,3,129.5026,560.4480722
Super built-up  Area,Ready To Move,benzert nord,2 BHK,2,2,115.4747,495.780987
Super built-up  Area,18-Dec,hesi farid,2 BHK,2,1,112.9664,808.3385657
Super built-up  Area,Ready To Move,KONENA AGRAHARA,2 BHK,2,1,99.8675,614.33731
Plot  Area,Immediate Possession,tataouin nord,,,,167.22,455.9029511
Built-up  Area,Ready To Move,seliena sud,3 BHK,3,3,139.35,1293.341705
Super built-up  Area,18-Oct,souk lahad,4 BHK,3,1,158.6732,819.1164133
Plot  Area,Ready To Move,hesi farid,3 Bedroom,3,1,139.35,2694.461886
Built-up  Area,Ready To Move,JAKKUR PLANTATION,3 BHK,4,3,167.22,1239.452467
Super built-up  Area,Ready To Move,tinja,2 BHK,2,1,142.3228,700.5600903
Super built-up  Area,18-Sep,tborba,3 BHK,3,2,160.3454,883.6757201
Super built-up  Area,Ready To Move,HANUMANTH NAGAR,2 BHK,2,2,113.338,591.5960516
Super built-up  Area,Ready To Move,ben arous,2 BHK,2,2,102.19,538.8923772
Super built-up  Area,Ready To Move,dar chaaben fehri,3 BHK,3,3,142.137,431.1139017
Super built-up  Area,18-Jan,tborba,2 BHK,2,1,78.036,301.7797312
Super built-up  Area,18-Apr,rouad,3 BHK,4,3,116.125,420.3360542
Super built-up  Area,Ready To Move,hay gazela,2 BHK,2,,95.687,377.224664
Super built-up  Area,Ready To Move,RAGHAVENDRA LAYOUT,3 BHK,3,2,139.2571,959.2284313
